Date		Group	Prime	Memory	Real		User		Sys
20010919	B	2	300	0m1.497s	0m1.330s	0m0.160s
20010919	B	3	400	0m33.064s	0m32.090s	0m0.420s
20010919	B	5	400	2m40.346s	2m36.490s	0m1.080s
20010919	M	2	400	3m7.949s	2m25.830s	0m39.620s
20010924	B	2	300	0m1.497s	0m1.330s	0m0.160s
20010924	B	3	400	0m18.649s	0m17.830s	0m0.480s
20010924	B	5	400	1m24.919s	1m22.520s	0m1.160s
20010924	M	2	400	3m7.403s	2m24.080s	0m41.020s
20011006	B	2	400	0m1.443s	0m1.360s	0m0.070s
20011006	B	3	400	0m18.292s	0m17.780s	0m0.460s
20011006	B	5	400	1m24.919s	1m22.520s	0m1.160s
20011006	M	2	400	1m38.766s	0m44.190s	0m41.470s
20011006	M(nfs)	2	400	2m44.071s	0m44.780s	0m42.330s
20011006	M(nfs)	2      1000	2m41.480s	1m2.470s	0m17.210s
20011006	M	2      1000	2m40.960s	1m2.950s	0m16.860s
20010919	B	3      2500	0m53.554s	0m26.500s	0m0.180s
20011228	M	2	700	3m7.896s	0m34.470s	0m26.550s
